NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
2100.0,0.2,0.35,4.0,480.0,2500.0,1.0,1.0,1.7999999999999998,151.68290542708758,1,20.456394,87.42396,44.162704,46.579094,47.392006,33.405197,11.399959,39.737694,112.113235,22.080173,59.563225,25.583618,49.100914,78.509796,37.48344,69.02178,84.118546,42.707935,37.952583,66.22251,18.363514,68.76993,57.66252,31.435194,40.62845,49.27497,24.41883
1800.0,0.3,0.4,3.0,540.0,3000.0,0.8,1.0,4.199999999999999,308.41072601818854,1,20.33828,89.62102,44.417664,47.991306,49.549652,34.20086,12.018946,39.72452,111.39751,21.049921,65.941185,22.668386,53.344685,81.51234,41.218143,58.210964,84.89095,44.495186,39.646786,70.428116,17.857132,68.7691,60.12107,29.20352,40.830837,49.97792,24.84709
300.0,0.5,0.5,1.5,540.0,4000.0,1.0,1.0,5.4,308.7380211829264,1,19.854279,92.083374,44.838425,49.56241,49.428284,35.874573,13.10042,38.614994,110.749695,19.570728,71.75733,23.12095,62.631893,94.38411,40.622616,57.5667,89.52234,51.04906,43.417973,74.055664,20.145288,66.84151,66.55105,27.71116,41.017387,52.16289,26.283085
1200.0,0.45,0.35,5.0,540.0,500.0,1.0,0.9,0.6000000000000001,53.52983515153877,1,21.024408,84.07056,37.79934,43.896427,46.377605,33.207977,10.452608,38.10093,109.47954,20.739502,52.502834,32.14945,44.790203,85.6318,38.32149,71.97851,84.88602,43.38504,39.641075,67.26711,19.958393,76.54786,56.67568,31.83454,38.97466,49.18774,24.643656
2700.0,0.2,0.2,4.5,300.0,4000.0,1.0,1.0,3.0,264.76177451232803,1,22.264236,87.251884,51.113834,42.875607,43.249477,33.22714,12.284023,41.214573,109.129776,23.36925,69.35305,25.80074,54.61792,77.58408,42.448795,61.820595,96.1587,42.063038,39.322857,68.188866,19.816072,57.230736,58.190693,32.391052,39.839302,50.032257,24.377554
1800.0,0.3,0.15,5.0,540.0,1500.0,0.8,1.0,4.199999999999999,375.02242229097664,1,21.705605,82.518616,44.132885,43.51194,49.68027,32.532936,11.216394,41.468006,109.63544,22.56444,63.54496,29.812407,46.353687,76.28442,43.217693,62.008953,91.2563,41.964993,38.161533,68.50159,18.659655,67.95762,57.243675,31.977041,38.22393,49.365402,23.866728
3000.0,0.2,0.25,2.5,420.0,5000.0,0.9,1.0,1.7999999999999998,125.04803764071228,1,20.306505,89.71918,47.165966,43.644463,40.732815,32.952618,12.737799,38.265827,108.261475,22.106417,67.38128,22.79252,56.149395,72.68086,41.72505,58.70822,88.26201,42.388565,41.867687,67.865204,18.606043,59.462368,56.55348,28.058495,44.216087,48.904415,24.00686
3000.0,0.05,0.2,4.5,300.0,4000.0,1.0,1.0,2.4000000000000004,211.9493715411102,1,21.364902,87.72336,51.731007,43.384323,43.521465,32.139275,11.872057,40.465084,108.49362,23.75263,66.0804,24.26418,52.008102,71.21839,40.00934,65.79356,93.517815,39.429554,37.136154,64.33475,18.297926,57.773838,55.363926,32.29513,39.548622,48.860775,24.058289
2400.0,0.1,0.5,1.0,540.0,5000.0,1.0,0.8,3.6,179.4416804259204,1,17.823576,98.90279,46.385345,48.433464,46.203926,33.90404,12.347214,36.362885,104.158264,19.670773,67.69271,15.315206,63.09994,75.32188,34.711605,60.127064,66.48547,40.661274,43.326687,67.54413,16.344406,64.988335,54.45567,27.151014,41.577515,48.119804,24.52109
300.0,0.5,0.5,5.0,420.0,0.0,0.9,1.0,0.0,0.0,1,20.942795,74.69705,39.060925,44.271355,45.275,31.304403,9.760126,38.260674,108.48219,18.89309,45.74418,30.256945,39.827602,92.14762,38.285828,70.09057,87.74761,44.531696,40.562634,63.4316,20.383612,74.68241,58.62772,30.183289,35.167797,48.10475,24.799242
